Time [s]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: BME280 @I2C [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: DS18B20 @GPIO [°C]	Sensor 6: OPUS20 @LAN [°C]
960.41	24.087538	24.049084354937076	23.625	23.875	23.6875	24.096006393432617
964.81	24.0838863	23.96186408936628	23.5625	23.875	23.6875	24.096006393432617
969.22	24.0146507	23.792554402188397	23.5625	23.875	23.625	24.096006393432617
973.67	23.9654137	23.73611791022704	23.5	23.8125	23.625	24.096006393432617
978.25	23.8895458	23.643767362978544	23.5	23.75	23.5625	24.096006393432617
982.66	23.8163321	23.54628633207176	23.4375	23.75	23.5625	24.096006393432617
987.25	23.7791056	23.566808645636776	23.4375	23.6875	23.5	24.096006393432617
991.6	23.7633289	23.623245031951228	23.375	23.6875	23.5	24.096006393432617
996.21	23.7643316	23.700203797314316	23.375	23.6875	23.5	24.096006393432617
1000.55	23.7146324	23.469327697675908	23.375	23.6875	23.4375	24.096006393432617
1004.98	23.6535114	23.40263026750181	23.375	23.625	23.4375	24.096006393432617
1009.35	23.6326023	23.500111143576213	23.375	23.625	23.4375	24.096006393432617
1013.75	23.6294604	23.515502870455386	23.3125	23.625	23.4375	24.096006393432617
1018.36	23.6394072	23.597592124715447	23.375	23.625	23.4375	24.09233856201172
1022.74	23.653053	23.68994262481574	23.3125	23.625	23.4375	24.09233856201172
1027.13	23.6754945	23.751509677269496	23.375	23.625	23.4375	24.09233856201172
1031.56	23.6953615	23.78229321921244	23.375	23.625	23.4375	24.09233856201172
1035.93	23.7076523	23.787423810554902	23.3125	23.625	23.4375	24.09233856201172
1040.43	23.6955135	23.700203797314316	23.3125	23.625	23.4375	24.09233856201172
1044.83	23.688874	23.751509677269496	23.3125	23.625	23.4375	24.09233856201172
1049.21	23.7062764	23.802815586328506	23.3125	23.625	23.4375	24.09233856201172
1053.63	23.70808	23.725856733653927	23.375	23.625	23.4375	24.09233856201172
1058.09	23.6760699	23.6129838681838	23.375	23.625	23.4375	24.09233856201172
1062.49	23.658592	23.571939224755624	23.375	23.625	23.375	24.09233856201172
1066.93	23.5975594	23.47445827126503	23.3125	23.625	23.375	24.09233856201172
1071.31	23.5772295	23.464197124377826	23.3125	23.625	23.375	24.09233856201172
1075.71	23.52013	23.382107991189695	23.25	23.5625	23.3125	24.032102584838867
1080.24	23.4368052	23.233321627188708	23.1875	23.5	23.3125	24.032102584838867
1084.81	23.3759862	23.253843869740376	23.125	23.5	23.25	24.032102584838867
1089.36	23.3786203	23.346194018848472	23.125	23.4375	23.25	24.032102584838867
1093.78	23.3716009	23.376977422839264	23.125	23.4375	23.25	24.032102584838867
1098.19	23.3847907	23.47445827126503	23.1875	23.4375	23.25	24.032102584838867
1102.6	23.4119616	23.571939224755624	23.1875	23.4375	23.25	24.032102584838867
1106.96	23.4403921	23.643767362978544	23.125	23.5	23.25	24.032102584838867
1111.39	23.4668907	23.648897946462967	23.125	23.5	23.25	24.032102584838867
1115.77	23.4636613	23.602722705580526	23.125	23.5	23.25	24.032102584838867
1120.16	23.4405499	23.515502870455386	23.1875	23.5	23.25	24.032102584838867
1124.57	23.4374221	23.4949805685319	23.1875	23.5	23.25	24.032102584838867
1129.0	23.4490642	23.525764023163354	23.125	23.5	23.25	24.032102584838867
1133.43	23.4497338	23.47445827126503	23.1875	23.5	23.25	24.032102584838867
1137.79	23.4190837	23.412891407404096	23.1875	23.5	23.25	24.017044067382812
1142.18	23.426539	23.47445827126503	23.1875	23.5	23.25	24.017044067382812
1146.52	23.453347	23.55654748827219	23.125	23.5	23.25	24.017044067382812
1150.87	23.479312	23.628375614271498	23.25	23.5	23.3125	24.017044067382812
1155.24	23.5016749	23.700203797314316	23.1875	23.5	23.3125	24.017044067382812
1159.64	23.5170921	23.751509677269496	23.1875	23.5	23.3125	24.017044067382812
1164.11	23.5322862	23.777162628161022	23.1875	23.5	23.3125	24.017044067382812
1168.59	23.5494915	23.807946178835117	23.1875	23.5625	23.3125	24.017044067382812
1173.06	23.5740031	23.854121524491347	23.25	23.5625	23.3125	24.017044067382812
1177.44	23.5849787	23.83359914573375	23.25	23.5625	23.3125	24.017044067382812
1181.82	23.6014536	23.83359914573375	23.25	23.5625	23.3125	24.017044067382812
1186.23	23.6299975	23.915688688703813	23.25	23.5625	23.375	24.017044067382812
1190.66	23.659878	23.977255894825795	23.3125	23.5625	23.375	24.017044067382812
1195.07	23.6818035	24.0234313269204	23.25	23.5625	23.375	23.998308181762695
1199.52	23.7037098	24.059345568181016	23.3125	23.5625	23.375	23.998308181762695
1203.93	23.7271284	24.09012921489775	23.375	23.625	23.4375	23.998308181762695
1208.34	23.7479746	24.13630470461794	23.3125	23.625	23.4375	23.998308181762695
1212.81	23.7642029	24.13117409348488	23.3125	23.625	23.4375	23.998308181762695
1217.2	23.7798838	24.13630470461794	23.3125	23.625	23.4375	23.998308181762695
1221.61	23.7936201	24.15169653976336	23.3125	23.625	23.4375	23.998308181762695
1226.01	23.7865546	23.98751709992066	23.375	23.625	23.4375	23.998308181762695
1230.4	23.7505044	23.83359914573375	23.375	23.625	23.375	23.998308181762695
1234.9	23.7480293	23.879774504486704	23.3125	23.5625	23.375	23.998308181762695
1239.27	23.7727481	23.94134168616147	23.3125	23.625	23.4375	23.998308181762695
1243.72	23.7963663	24.0234313269204	23.3125	23.625	23.4375	23.998308181762695
1248.09	23.8198832	24.084998606384033	23.3125	23.625	23.4375	23.998308181762695
1252.48	23.8398283	24.13117409348488	23.3125	23.625	23.4375	23.998308181762695
1256.88	23.8547777	24.15169653976336	23.3125	23.625	23.4375	23.998308181762695
1261.27	23.8744468	24.177349604159826	23.3125	23.625	23.4375	23.998308181762695
1265.7	23.8894175	24.223525138408878	23.375	23.625	23.5	23.998308181762695
1270.09	23.9010056	24.233786371443422	23.3125	23.625	23.4375	23.998308181762695
1274.45	23.9113885	24.233786371443422	23.4375	23.625	23.4375	23.998308181762695
1278.81	23.9237384	24.249178223178024	23.375	23.625	23.5	23.998308181762695
