Time [s]	Voltage set [V]	Voltage measured [V]
122.82	1.0	1.0052
122.96	1.0	1.0031
123.15	0.5	1.0031
123.28	0.5	1.0031
123.43	0.5	0.5029
123.56	0.5	0.5029
123.69	0.5	0.5029
123.81	0.5	0.5029
123.94	0.5	0.5029
124.07	0.5	0.5025
124.26	0.0	0.5025
124.38	0.0	0.5025
124.52	0.0	0.5025
124.65	0.0	0.5025
124.77	0.0	0.0
124.9	0.0	0.0
125.03	0.0	0.0
